Intent,Answer
Academic Calendar Scope,"No, the academic calendar covers all the flow including the dates and deadlines for final registrations, course selections, course add-drops, withdrawing, submission of the term projects and thesis interim report, weeks for the thesis defences and term project submissions etc. in the Fall, Spring and Summer semesters."
Access Issue,A username and password defined for individual students along with the links to access the university systems are forwarded to the e-mail addresses provided by the students during the registration process.
Add/Drop Course Procedure,"Adding and dropping courses are completed through the OIS platform. First of all, the student needs to inform his/her advisor, who had approved his/her course selections before, by e-mail. This is because the student must get his/her advisor to remove his/her approval for the courses in order for the student to make changes to his/her selection of the courses over the OIS platform. Once the approval granted previously has been removed, the student then can perform the necessary actions and send the changes to the advisor's approval once again by clicking the ""send to advisor"" button. New course registration can only be completed following the approval of the advisor."
Add/Drop Course Timing,"The period for adding and dropping courses are stated in the academic calendar. The required procedures must be completed within the defined time to add or drop a course, and no adding or dropping courses outside the specified time period will be allowed."
Additional Graduation Course Exam Application,The students who have not completed the courses in their program within the maximum completion time of the courses are given the right to take two additional exams for the courses they have taken before and the courses they have failed.
Additional Graduation Course Exam Date,Applications for additional graduation course exams are made within the dates announced by the university.
Attendance Requirement,70% attendance in classes is mandatory. This rate can be increased up to 80% in applied courses.
Attendance Requirement on Retake,Yes. If the course is repeated
Course Approval Issue,You need to write an email to the Student Affairs (ogrenciisleri@beykoz.edu.tr) and the institute (enstitu@beykoz.edu.tr) and inform them on this issue.
Course Registration Procedure,Course registration / course selection processes are done through the OIS system during the course selection date ranges specified in the academic calendar.
Course Retake for GPA,"Yes, students may repeat a course they have taken before in order to improve their grade point average, subject to university regulations."
Distance Education Exam Format,The exam format in distance education master's programs is determined and announced by the university according to the course and program structure.
Elective Course Retake Option,"Students can take another elective course instead of the elective courses they failed, provided that the credits are not less than the course they failed."
Exam Dates Information,"The dates of midterms, finals, make-ups, repeat exams besides the dates of additional exams for graduation and/or single course exams for graduation are available on the academic calendar. The academic calendar can be reached through the link below:"
Exam Eligibility after Attendance Exceeded,No. It is not possible to take the exams due to absenteeism.
Exam Eligibility after Missing Midterm,The students that have missed a midterm exam can take the final exam if they have fulfilled the attendance requirements for that course.
Exam Results Information,Exam results are announced through the student information system or the channels specified by the university.
Exam Schedule Announcement,Exam schedules are announced by the university through official systems and communication channels.
Exam Schedule Planning,The exam schedule is prepared by the relevant academic units by considering the academic calendar and course requirements.
Failed Course Next Step,The students need to repeat the failed compulsory courses and can choose to repeat or substitute failed elective courses according to program rules.
Failing Grades Identification,"A student who receives one of the letter grades FF, BZ and DZ in a course is considered unsuccessful in that course."
Final Grade Calculation,Final grades are calculated according to the evaluation components and weights defined by the course instructor.
Find Advisor,"Advisor information is available in the Education Information on the student screen on the OIS platform. Since the appointment is made automatically, if an advisor has not been appointed for you, you need to inform the institute at once by sending an e-mail to the institute (enstitu@beykoz.edu.tr) to sort out the issue."
Formal Graduate Exam Format,Exams in formal graduate programs are conducted according to the course plan and institutional rules announced for the semester.
Make-up Exam Application,Students should apply according to the procedures announced by the institute or student affairs within the relevant period.
Make-up Exam Eligibility Information,The result of the application and the right to take the make-up exam are announced by the institute.
Medical Report and Absenteeism,"No, the absenteeism due to the medical report is also added to the total absenteeism."
Non-thesis Additional Time,Students may be granted additional time if the regulations and university decisions allow it.
Registration Freeze Application,Students need to submit the required petition and supporting documents within the official application dates announced by the university.
Registration Freeze Availability,Yes. Students may freeze their registration according to the regulations for postgraduate programs.
Registration Freeze Semester Limit,Students may freeze registration up to the limit stated in the postgraduate education regulations for their program type.
Repeat Exam Eligibility,Students who cannot take the final exam may take the repeat exam if they meet the required conditions announced by the university.
Repeat Exam Petition Requirement,"Yes, if the announced procedure requires a petition, the student must apply within the specified deadline."
Semester Registration Requirement,"Yes, you have to renew the course registration / course selection process each semester."
Single Course Exam Application Date,Applications for the single course exam for graduation are made within the period specified in the academic calendar.
Single Course Exam Application Process,Students should apply by following the announced institutional procedure during the relevant dates.
Single Course Exam Possibility,Students near graduation may be granted a single course exam right according to the applicable academic rules.
Sufficient Grades for Success,"A student who has received one of the following letter grades AA, BA, BB, CB, CC, BI and M as a passing grade for a course is deemed to have been successful in that course."
Term Project Presentation Date Ranges,The first date range for is set for the presentations of students that have been successful in all their courses and have achieved the 2.5 GPA required for their graduation.
Term Project Submission Requirement,"No, the submitted term projects need to be presented to the jury on the presentation weeks specified by the academic calendar, and following the completion of the presentation, the jury decides whether the term project is Successful (BI) / Unsuccessful (BZ)."
Thesis Additional Time,Students may be granted additional time if the regulations and university decisions allow it.
