Intent,Answer
Academic Calendar Scope,"No, the academic calendar covers all the flow including the dates and deadlines for final registrations, course selections, course add-drops, withdrawing, submission of the term projects and thesis interim report, weeks for the thesis defences and term project submissions etc. in the Fall, Spring and Summer semesters."
Access Issue,A username and password defined for individual students along with the links to access the university systems are forwarded to the e-mail addresses provided by the students during the registration process.
Add/Drop Course Procedure,"Adding and dropping courses are completed through the OIS platform. First of all, the student needs to inform his/her advisor, who had approved his/her course selections before, by e-mail. This is because the student must get his/her advisor to remove his/her approval for the courses in order for the student to make changes to his/her selection of the courses over the OIS platform. Once the approval granted previously has been removed, the student then can perform the necessary actions and send the changes to the advisor's approval once again by clicking the ""send to advisor"" button. New course registration can only be completed following the approval of the advisor."
Add/Drop Course Timing,"The period for adding and dropping courses are stated in the academic calendar. The required procedures must be completed within the defined time to add or drop a course, and no adding or dropping courses outside the specified time period will be allowed."
Additional Graduation Course Exam Application,The students who have not completed the courses in their program within the maximum completion time of the courses are given the right to take two additional exams for the courses they have taken before and the courses they have failed.
Attendance Requirement,70% attendance in classes is mandatory. This rate can be increased up to 80% in applied courses.
Course Approval Issue,You need to write an email to the Student Affairs (ogrenciisleri@beykoz.edu.tr) and the institute (enstitu@beykoz.edu.tr) and inform them on this issue.
Course Registration Procedure,Course registration / course selection processes are done through the OIS system during the course selection date ranges specified in the academic calendar.
Elective Course Retake Option,"Students can take another elective course instead of the elective courses they failed, provided that the credits are not less than the course they failed."
Exam Dates Information,"The dates of midterms, finals, make-ups, repeat exams besides the dates of additional exams for graduation and/or single course exams for graduation are available on the academic calendar. The academic calendar can be reached through the link below:"
Exam Eligibility after Missing Midterm,The students that have missed a midterm exam can take the final exam if they have fulfilled the attendance requirements for that course.
Exam Eligibility with Exceeded Absences,The students that have failed to fulfill the attendance requirements of a course are given a letter grade of DZ. The students that are in this situation cannot take the final and make-up exams.
Exam Procedure in Distance Education Programs,"In distance education programs, midterm and final exams (including re-take, graduation additional exams, graduation single course exams, graduation grade point average upgrade exams) will be held face to face."
Exam Procedure in Formal Graduate Programs,"All exams in formal programs are conducted face-to-face. If homework or projects are assigned as semester exams, final exams or as repeat exams, they can be completed online."
Exam Results Access,You can learn about your exam results by entering the OIS.
Exam Schedule Announcement,"Once the exam schedule has been set, it is published as an announcement on the website of Beykoz University and the link for viewing the exam schedule is forwarded to the e-mail address enstitu@ogrenci.beykoz.edu.tr. Moreover, the link is also available for the students to view and visit in the announcement section of the OIS."
Exam Schedule Planning,"The exam of a course is given in the date ranges specified by the academic calendar, in accordance with the course schedule, on the days when the course is given weekly. For example, if a course is given on Mondays, then the exam of that course is held on a Monday."
Failed Course Action,"Students with a semester letter success grade of FF, DZ, BZ have to repeat the courses they have failed or withdrawn with a W grade. The grades of the repeated courses are recorded for the semesters to which the course belongs and are included in the grade point average (GPA) of that semester."
Failing Grades Identification,"A student who receives one of the letter grades FF, BZ and DZ in a course is considered unsuccessful in that course."
Final Grade Calculation,"As far as formal programs are concerned, the final grades of the students are calculated by taking 50% of the weighted-average of the grades they have received for the assessment and evaluation activities on top of the 50% of the grades they receive for the final exam."
Find Advisor,"Advisor information is available in the Education Information on the student screen on the OIS platform. Since the appointment is made automatically, if an advisor has not been appointed for you, you need to inform the institute at once by sending an e-mail to the institute (enstitu@beykoz.edu.tr) to sort out the issue."
Graduation Additional Course Exam Application,"The application petition for the graduation additional course exams, which is located under the forms, needs to be sent to the Graduate School with a signed form. The submitted application is then approved or rejected by the Graduate School Administrative Board. Exams are organized within the date ranges specified by the academic calendar. The information regarding the date, time and place of the exam is sent to the applicant by the institute secretariat via an e-mail."
Graduation Single Course Exam Application,"The application petition for the graduation single course exam, which is located under the forms, needs to be sent to the Graduate School with a signed form. The submitted application is then approved or rejected by the Graduate School Administrative Board. Exams are organized within the date ranges specified by the academic calendar. The information regarding the date, time and place of the exam is sent to the applicant by the institute secretariat via an e-mail."
