Intent,Answer
Access Issue,A username and password defined for individual students along with the links to access the university systems are forwarded to the e-mail addresses provided by the students during the registration process.
Course Registration Procedure,Course registration / course selection processes are done through the OIS system during the course selection date ranges specified in the academic calendar.
Course Approval Issue,You need to write an email to the Student Affairs (ogrenciisleri@beykoz.edu.tr) and the institute (enstitu@beykoz.edu.tr) and inform them on this issue.
Semester Registration Requirement,"Yes, you have to renew the course registration / course selection process each semester."
Add/Drop Course Timing,"The period for adding and dropping courses are stated in the academic calendar. The required procedures must be completed within the defined time to add or drop a course, and no adding or dropping courses outside the specified time period will be allowed."
Add/Drop Course Procedure,"Adding and dropping courses are completed through the OIS platform. First of all, the student needs to inform his/her advisor, who had approved his/her course selections before, by e-mail. This is because the student must get his/her advisor to remove his/her approval for the courses in order for the student to make changes to his/her selection of the courses over the OIS platform. Once the approval granted previously has been removed, the student then can perform the necessary actions and send the changes to the advisor's approval once again by clicking the 'send to advisor' button. New course registration can only be completed following the approval of the advisor."
Find Advisor,"Advisor information is available in the Education Information on the student screen on the OIS platform. Since the appointment is made automatically, if an advisor has not been appointed for you, you need to inform the institute at once by sending an e-mail to the institute (enstitu@beykoz.edu.tr) to sort out the issue."
Sufficient Grades for Success,"A student who has received one of the following letter grades AA, BA, BB, CB, CC, BI and M as a passing grade for a course is deemed to have been successful in that course."
Failing Grades Identification,"A student who receives one of the letter grades FF, BZ and DZ in a course is considered unsuccessful in that course."
Attendance Requirement,70% attendance in classes is mandatory. This rate can be increased up to 80% in applied courses.
Medical Report and Absenteeism,"No, the absenteeism due to the medical report is also added to the total absenteeism."
Exam Eligibility after Attendance Exceeded,No. It is not possible to take the exams due to absenteeism.
Elective Course Retake Option,"Students can take another elective course instead of the elective courses they failed, provided that the credits are not less than the course they failed."
Exam Dates Information,"The dates of midterms, finals, make-ups, repeat exams besides the dates of additional exams for graduation and/or single course exams for graduation are available on the academic calendar. The academic calendar can be reached through the link below:"
Exam Eligibility after Missing Midterm,The students that have missed a midterm exam can take the final exam if they have fulfilled the attendance requirements for that course.
Academic Calendar Scope,"No, the academic calendar covers all the flow including the dates and deadlines for final registrations, course selections, course add-drops, withdrawing, submission of the term projects and thesis interim report, weeks for the thesis defences and term project submissions etc. in the Fall, Spring and Summer semesters."
Term Project Submission Requirement,"No, the submitted term projects need to be presented to the jury on the presentation weeks specified by the academic calendar, and following the completion of the presentation, the jury decides whether the term project is Successful (BI) / Unsuccessful (BZ)."
