Question,Intent,Answer,SearchText
I cannot Access Beykoz University systems following my final registration.,Access Issue,A username and password defined for individual students along with the links to access the university systems are forwarded to the e-mail addresses provided by the students during the registration process.,i cannot access beykoz university systems following my final registration. access issue
How are course registration / course selection procedures done?,Course Registration Procedure,Course registration / course selection processes are done through the OIS system during the course selection date ranges specified in the academic calendar.,how are course registration / registration procedures done? course registration procedure
"I cannot send it for approval after the course selection, what should I do?",Course Approval Issue,You need to write an email to the Student Affairs (ogrenciisleri@beykoz.edu.tr) and the institute (enstitu@beykoz.edu.tr) and inform them on this issue.,"i cannot send it for approval after the registration, what should i do? course approval issue"
Do I have to renew the course registration / course selection procedures every semester?,Semester Registration Requirement,"Yes, you have to renew the course registration / course selection process each semester.",do i have to renew the course registration / registration procedures every semester? semester registration requirement
Is there a specific time to add or drop a course?,Add/Drop Course Timing,"The period for adding and dropping courses are stated in the academic calendar. The required procedures must be completed within the defined time to add or drop a course, and no adding or dropping courses outside the specified time period will be allowed.",is there a specific time to add or drop a course? add/drop course timing
"I want to add or drop a course, how and where do I do it?",Add/Drop Course Procedure,"Adding and dropping courses are completed through the OIS platform. First of all, the student needs to inform his/her advisor, who had approved his/her course selections before, by e-mail. This is because the student must get his/her advisor to remove his/her approval for the courses in order for the student to make changes to his/her selection of the courses over the OIS platform. Once the approval granted previously has been removed, the student then can perform the necessary actions and send the changes to the advisor's approval once again by clicking the ""send to advisor"" button. New course registration can only be completed following the approval of the advisor.","i want to add or drop a course, how and where do i do it? add/drop course procedure"
How can I find out who my advisor is?,Find Advisor,"Advisor information is available in the Education Information on the student screen on the OIS platform. Since the appointment is made automatically, if an advisor has not been appointed for you, you need to inform the institute at once by sending an e-mail to the institute (enstitu@beykoz.edu.tr) to sort out the issue.",how can i find out who my advisor is? find advisor
Which letter grades I get will be sufficient for me to be considered successful in a course?,Sufficient Grades for Success,"A student who has received one of the following letter grades AA, BA, BB, CB, CC, BI and M as a passing grade for a course is deemed to have been successful in that course.",which letter grades i get will be sufficient for me to be considered successful in a course? sufficient grades for success
Which letter grades I get from a course will cause me to fail that course?,Failing Grades Identification,"A student who receives one of the letter grades FF, BZ and DZ in a course is considered unsuccessful in that course.",which letter grades i get from a course will cause me to fail that course? fail grades identification
What is the attendance requirement for the courses?,Attendance Requirement,70% attendance in classes is mandatory. This rate can be increased up to 80% in applied courses.,what is the attendance requirement for the courses? attendance requirement
Do my medical report excuses count as absenteeism?,Medical Report and Absenteeism,"No, the absenteeism due to the medical report is also added to the total absenteeism.",do my medical report excuses count as absenteeism? medical report and absenteeism
I've exceeded my attendance requirement. Can I still take the exams?,Exam Eligibility after Attendance Exceeded,No. It is not possible to take the exams due to absenteeism.,i've exceeded my attendance requirement. can i still take the exams? exam eligibility after attendance exceeded
I have failed an elective course. Can I take another elective instead?,Elective Course Retake Option,"Students can take another elective course instead of the elective courses they failed, provided that the credits are not less than the course they failed.",i have fail an elective course. can i take another elective instead? elective course retake option
I have failed a course. What should I do?,Failed Course Next Step,The students need to repeat the failed compulsory courses and can choose to repeat or substitute failed elective courses according to program rules.,i have fail a course. what should i do? fail course next step
How can I apply for the make-up exam?,Make-up Exam Application,Students should apply according to the procedures announced by the institute or student affairs within the relevant period.,how can i apply for the make-up exam? make-up exam application
How can I find out if I am granted the right to take the make-up exam?,Make-up Exam Eligibility Information,The result of the application and the right to take the make-up exam are announced by the institute.,how can i find out if i am granted the right to take the make-up exam? make-up exam eligibility information
I have not taken the midterm exam. Can I still take the final exam?,Exam Eligibility after Missing Midterm,The students that have missed a midterm exam can take the final exam if they have fulfilled the attendance requirements for that course.,i have not taken the midterm exam. can i still take the final exam? exam eligibility after missing midterm
I could not take the final exam. Can I take the repeat exam?,Repeat Exam Eligibility,Students who cannot take the final exam may take the repeat exam if they meet the required conditions announced by the university.,i could not take the final exam. can i take the repeat exam? repeat exam eligibility
Is it necessary to apply with a petition to take the repeat exam?,Repeat Exam Petition Requirement,"Yes, if the announced procedure requires a petition, the student must apply within the specified deadline.",is it necessary to apply with a petition to take the repeat exam? repeat exam petition requirement
"Is there possibility for me to pass a course I have failed without having to repeat that course only by taking a single exam? If so, how?",Single Course Exam Possibility,Students near graduation may be granted a single course exam right according to the applicable academic rules.,"is there possibility for me to successful a course i have fail without having to repeat that course only by taking a single exam? if so, how? single course exam possibility"
I have failed a course but I also wish to increase my GPA. Can I retake that that course?,Course Retake for GPA,"Yes, students may repeat a course they have taken before in order to improve their grade point average, subject to university regulations.",i have fail a course but i also wish to increase my gpa. can i retake that that course? course retake for gpa
How are final grades calculated?,Final Grade Calculation,Final grades are calculated according to the evaluation components and weights defined by the course instructor.,how are final grades calculated? final grade calculation
I am retaking a course. Is attendance mandatory again?,Attendance Requirement on Retake,Yes. If the course is repeated,i am retaking a course. is attendance mandatory again? attendance requirement on retake
Where do I see the dates for the exams?,Exam Dates Information,"The dates of midterms, finals, make-ups, repeat exams besides the dates of additional exams for graduation and/or single course exams for graduation are available on the academic calendar. The academic calendar can be reached through the link below:",where do i see the dates for the exams? exam dates information
Does the Academic Calendar only show the exams?,Academic Calendar Scope,"No, the academic calendar covers all the flow including the dates and deadlines for final registrations, course selections, course add-drops, withdrawing, submission of the term projects and thesis interim report, weeks for the thesis defences and term project submissions etc. in the Fall, Spring and Summer semesters.",does the academic calendar only show the exams? academic calendar scope
Can I freeze my registration in the post-graduate programs?,Registration Freeze Availability,Yes. Students may freeze their registration according to the regulations for postgraduate programs.,can i freeze my registration in the postgraduate programs? registration freeze availability
How can you apply to freeze your registration?,Registration Freeze Application,Students need to submit the required petition and supporting documents within the official application dates announced by the university.,how can you apply to freeze your registration? registration freeze application
How many semesters maximum can I freeze my registration for the masters with thesis and non-thesis master's programs?,Registration Freeze Semester Limit,Students may freeze registration up to the limit stated in the postgraduate education regulations for their program type.,how many semesters maximum can i freeze my registration for the masters with thesis and non-thesis master's programs? registration freeze semester limit
My maximum period of study in your non-thesis master's programs has expired. Can I get additional time?,Non-thesis Additional Time,Students may be granted additional time if the regulations and university decisions allow it.,my maximum period of study in your non-thesis master's programs has expired. can i get additional time? non-thesis additional time
My maximum period of study in master's programs with thesis has expired. Can I get additional time?,Thesis Additional Time,Students may be granted additional time if the regulations and university decisions allow it.,my maximum period of study in master's programs with thesis has expired. can i get additional time? thesis additional time
When can I apply for the single course exam for graduation?,Single Course Exam Application Date,Applications for the single course exam for graduation are made within the period specified in the academic calendar.,when can i apply for the single course exam for graduation? single course exam application date
How can I apply for the graduation single course exam?,Single Course Exam Application Process,Students should apply by following the announced institutional procedure during the relevant dates.,how can i apply for the graduation single course exam? single course exam application process
When can I apply for the graduation additional course exams?,Additional Graduation Course Exam Date,Applications for additional graduation course exams are made within the dates announced by the university.,when can i apply for the graduation additional course exams? additional graduation course exam date
How can I apply for the graduation additional course exams?,Additional Graduation Course Exam Application,The students who have not completed the courses in their program within the maximum completion time of the courses are given the right to take two additional exams for the courses they have taken before and the courses they have failed.,how can i apply for the graduation additional course exams? additional graduation course exam application
Where can I find out the exam results?,Exam Results Information,Exam results are announced through the student information system or the channels specified by the university.,where can i find out the exam results? exam results information
How are exams conducted in distance education master's programs?,Distance Education Exam Format,The exam format in distance education master's programs is determined and announced by the university according to the course and program structure.,how are exams conducted in distance education master's programs? distance education exam format
How are exams conducted in formal graduate programs?,Formal Graduate Exam Format,Exams in formal graduate programs are conducted according to the course plan and institutional rules announced for the semester.,how are exams conducted in formal graduate programs? formal graduate exam format
How is the exam schedule planned?,Exam Schedule Planning,The exam schedule is prepared by the relevant academic units by considering the academic calendar and course requirements.,how is the exam schedule planned? exam schedule planning
How are the exam schedules announced?,Exam Schedule Announcement,Exam schedules are announced by the university through official systems and communication channels.,how are the exam schedules announced? exam schedule announcement
Is it sufficient to deliver the Term Project to my advisor?,Term Project Submission Requirement,"No, the submitted term projects need to be presented to the jury on the presentation weeks specified by the academic calendar, and following the completion of the presentation, the jury decides whether the term project is Successful (BI) / Unsuccessful (BZ).",is it sufficient to deliver the term project to my advisor? term project submission requirement
Why are there two separate date ranges for the Term Project presentation?,Term Project Presentation Date Ranges,The first date range for is set for the presentations of students that have been successful in all their courses and have achieved the 2.5 GPA required for their graduation.,why are there two separate date ranges for the term project presentation? term project presentation date ranges
